Unnamed: 0,Model,Company,Price,Rating,No_of_ratings,TotalReviwes,RamSize,RomSize
25,"MOTOROLA e40 (Carbon Gray, 64 GB)",MOTOROLA,7999,4.1,56085,5600,4 GB,64 GB
26,"MOTOROLA e40 (Pink Clay, 64 GB)",MOTOROLA,7999,4.1,56085,5600,4 GB,64 GB
27,"POCO C31 (Shadow Gray, 64 GB)",POCO,7499,4.3,183688,11185,4 GB,64 GB
28,"MOTOROLA G32 (Mineral Gray, 64 GB)",MOTOROLA,9999,4.2,16249,1639,4 GB,64 GB
29,"REDMI 9i Sport (Carbon Black, 64 GB)",REDMI,7199,4.3,209377,12027,4 GB,64 GB
30,"REDMI 9i Sport (Coral Green, 64 GB)",REDMI,7199,4.3,209377,12027,4 GB,64 GB
31,"POCO M4 Pro 5G (Cool Blue, 64 GB)",POCO,11999,4.3,33258,2972,4 GB,64 GB
32,"realme 9 5G (Stargaze White, 128 GB)",realme,16499,4.4,44415,2930,6 GB,128 GB
33,"realme 9 5G (Supersonic Blue, 64 GB)",realme,14999,4.5,36109,2083,4 GB,64 GB
34,"realme 9 5G (Meteor Black, 64 GB)",realme,14999,4.5,36109,2083,4 GB,64 GB
35,"MOTOROLA G62 5G (Midnight Gray, 128 GB)",MOTOROLA,14999,4.1,8567,933,6 GB,128 GB
36,"POCO M4 Pro 5G (Cool Blue, 128 GB)",POCO,13999,4.2,41124,3691,6 GB,128 GB
37,"MOTOROLA g52 (Metallic White, 128 GB)",MOTOROLA,12999,4.2,20882,2628,6 GB,128 GB
38,"realme 9 5G (Meteor Black, 128 GB)",realme,16499,4.4,44415,2930,6 GB,128 GB
39,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)",SAMSUNG,13999,4.2,32083,2613,4 GB,128 GB
40,"realme 9 5G (Supersonic Blue, 128 GB)",realme,16499,4.4,44415,2930,6 GB,128 GB
41,"realme 9 5G (Stargaze White, 64 GB)",realme,14999,4.5,36109,2083,4 GB,64 GB
42,"MOTOROLA g52 (Charcoal Grey, 128 GB)",MOTOROLA,12999,4.2,20882,2628,6 GB,128 GB
43,"APPLE iPhone 14 (Starlight, 128 GB)",APPLE,73990,4.6,981,67,128 GB,Not Known
44,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",SAMSUNG,14999,4.3,137778,11213,6 GB,128 GB
45,"APPLE iPhone 14 (Midnight, 128 GB)",APPLE,73990,4.6,981,67,128 GB,Not Known
46,"vivo T1 5G (Starlight Black, 128 GB)",vivo,16990,4.4,157801,12539,6 GB,128 GB
47,"MOTOROLA G32 (Satin Silver, 64 GB)",MOTOROLA,9999,4.2,16249,1639,4 GB,64 GB
48,"MOTOROLA G62 5G (Frosted Blue, 128 GB)",MOTOROLA,14999,4.1,8567,933,6 GB,128 GB
49,"MOTOROLA g42 (Atlantic Green, 64 GB)",MOTOROLA,10999,4.1,3075,385,4 GB,64 GB
50,"APPLE iPhone 14 (Blue, 128 GB)",APPLE,73990,4.6,981,67,128 GB,Not Known
51,"realme 9 5G (Supersonic Black, 128 GB)",realme,16499,4.4,44415,2930,6 GB,128 GB
52,"APPLE iPhone 14 (Purple, 128 GB)",APPLE,73990,4.6,981,67,128 GB,Not Known
53,"Infinix HOT 20 Play (Racing Black, 64 GB)",Infinix,8199,4.3,505,52,4 GB,64 GB
54,"Infinix HOT 20 Play (Aurora Green, 64 GB)",Infinix,8199,4.3,505,52,4 GB,64 GB
55,"Infinix HOT 20 Play (Fantasy Purple, 64 GB)",Infinix,8199,4.3,505,52,4 GB,64 GB
56,"vivo T1 5G (Rainbow Fantasy, 128 GB)",vivo,16990,4.4,157801,12539,6 GB,128 GB
57,"vivo T1 5G (Rainbow Fantasy, 128 GB)",vivo,15990,4.3,59607,4787,4 GB,128 GB
58,"REDMI Note 11 SE (Cosmic White, 64 GB)",REDMI,16998,4.3,30409,1886,6 GB,64 GB
59,"REDMI 10 (Midnight Black, 64 GB)",REDMI,9999,4.3,165144,10864,4 GB,64 GB
60,"REDMI 10 (Pacific Blue, 64 GB)",REDMI,9999,4.3,165144,10864,4 GB,64 GB
61,"MOTOROLA G32 (Mineral Gray, 64 GB)",MOTOROLA,9999,4.2,16249,1639,4 GB,64 GB
62,"POCO C31 (Royal Blue, 64 GB)",POCO,7499,4.3,183688,11185,4 GB,64 GB
63,"POCO M4 5G (Cool Blue, 128 GB)",POCO,13999,4.2,22699,1884,6 GB,128 GB
64,"vivo T1X (Gravity Black, 64 GB)",vivo,11999,4.5,68117,3863,4 GB,64 GB
65,"vivo T1X (Space Blue, 64 GB)",vivo,11999,4.5,68117,3863,4 GB,64 GB
66,"POCO M4 5G (Cool Blue, 64 GB)",POCO,11999,4.2,45400,3749,4 GB,64 GB
67,"POCO M4 5G (Power Black, 128 GB)",POCO,13999,4.2,22699,1884,6 GB,128 GB
68,"MOTOROLA g82 5G(White Lily, 128 GB)",MOTOROLA,18999,4.2,5211,703,6 GB,128 GB
69,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",SAMSUNG,13999,4.2,32083,2613,4 GB,128 GB
70,"vivo T1 5G (Starlight Black, 128 GB)",vivo,15990,4.3,59607,4787,4 GB,128 GB
71,"Infinix Smart 6 HD (Origin Blue, 32 GB)",Infinix,5799,4.4,15648,823,2 GB,32 GB
72,"Infinix HOT 20 Play (Luna Blue, 64 GB)",Infinix,8199,4.3,505,52,4 GB,64 GB
73,"MOTOROLA e40 (Carbon Gray, 64 GB)",MOTOROLA,7999,4.1,56085,5600,4 GB,64 GB
74,"MOTOROLA e40 (Pink Clay, 64 GB)",MOTOROLA,7999,4.1,56085,5600,4 GB,64 GB
75,"POCO C31 (Shadow Gray, 64 GB)",POCO,7499,4.3,183688,11185,4 GB,64 GB
76,"MOTOROLA G32 (Mineral Gray, 64 GB)",MOTOROLA,9999,4.2,16249,1639,4 GB,64 GB
