Unnamed: 0,Model,Company,Price,Rating,No_of_ratings,TotalReviwes,RamSize,RomSize
2363,"POCO X4 Pro 5G (Laser Blue, 128 GB)",POCO,19999,4.2,61334,6308,6 GB,128 GB
2364,"realme C31 (Light Silver, 32 GB)",realme,9299,4.5,45218,1790,3 GB,32 GB
2365,"realme C31 (Dark Green, 32 GB)",realme,8299,4.5,45218,1790,3 GB,32 GB
2366,"POCO M4 Pro (Power Black, 128 GB)",POCO,17999,4.3,12383,1095,8 GB,128 GB
2367,LAVA A3,LAVA,1212,4.2,27114,2792,4 MB,3 MB
2368,"REDMI 10A (Sea Blue, 32 GB)",REDMI,7890,4.1,749,53,3 GB,32 GB
2369,"realme 10 Pro 5G (Hyperspace, 128 GB)",realme,19999,4.4,1963,193,8 GB,128 GB
2370,"APPLE iPhone 11 (Black, 64 GB)",APPLE,39999,4.6,176742,10518,64 GB,Not Known
2371,Motorola a10,Motorola,1399,4.2,5507,644,0 MB,Expandable Upto
2372,Motorola a10,Motorola,1399,4.2,5507,644,0 MB,Expandable Upto
2373,SAMSUNG Guru Music 2,SAMSUNG,2099,4.3,196562,18346,NA ROM,Upto 16
2374,SAMSUNG GURU MUSIC 2,SAMSUNG,2075,4.1,3092,256,8 MB,0 GB
2375,"realme C35 (Glowing Black, 128 GB)",realme,12999,4.4,159779,9431,4 GB,128 GB
2376,"Infinix Note 12 Pro 5G (Snowfall, 128 GB)",Infinix,16999,4.1,15545,2023,8 GB,128 GB
2377,Nokia 150 DS 2020,Nokia,2499,4.1,20173,1585,4 MB,4 MB
2378,"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)",SAMSUNG,11999,4.4,108205,6211,4 GB,64 GB
2379,"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)",SAMSUNG,13999,4.2,32083,2613,4 GB,128 GB
2380,"Realme C30 - Locked with Airtel Prepaid (Lake Blue, 32 GB)",Realme,5499,4.3,66939,3492,2 GB,32 GB
2381,Nokia 105 TA-1416 DS,Nokia,1449,4.1,4334,319,32 MB,32 MB
2382,"POCO M4 Pro 5G (Power Black, 128 GB)",POCO,13999,4.2,41124,3691,6 GB,128 GB
2383,"Infinix Note 12 Pro 5G (Force Black, 128 GB)",Infinix,16999,4.1,15545,2023,8 GB,128 GB
2384,"SAMSUNG GALAXY M13 5G (Aqua Green, 128 GB)",SAMSUNG,14988,4.1,402,28,6 GB,128 GB
2385,"POCO C31 (Shadow Gray, 32 GB)",POCO,6999,4.3,123512,7402,3 GB,32 GB
2386,"vivo T1 Pro 5G (Turbo Black, 128 GB)",vivo,23999,4.4,7325,702,6 GB,128 GB
2387,SAMSUNG Guru Music 2,SAMSUNG,2075,4.3,196562,18346,NA ROM,Not Known
2388,"REDMI 10 Prime (Bifrost Blue, 128 GB)",REDMI,12999,4.2,10213,748,6 GB,128 GB
2389,"SAMSUNG Galaxy S21 FE 5G (Lavender, 128 GB)",SAMSUNG,35999,4.4,29082,3001,8 GB,128 GB
2390,"MOTOROLA G60 (Moonless, 128 GB)",MOTOROLA,15999,4.2,131824,13360,6 GB,128 GB
2391,"Nothing Phone (1) (White, 256 GB)",Nothing,35499,4.3,5975,693,12 GB,256 GB
2392,"Nothing Phone (1) (Black, 256 GB)",Nothing,27499,4.3,39201,5306,8 GB,256 GB
2393,"Infinix Smart 6 (Polar Black, 64 GB)",Infinix,6499,4.3,27687,1913,2 GB,64 GB
2394,"REDMI 10 Prime (Astral White, 128 GB)",REDMI,12999,4.2,10213,748,6 GB,128 GB
2395,Nokia 105 PLUS,Nokia,1399,4.1,5686,404,4 MB,4 MB
2396,itel It2171,itel,999,4.1,3569,328,32 MB,32 MB
2397,Nokia 105 PLUS,Nokia,1399,4.1,5686,404,4 MB,4 MB
2398,Micromax X412,Micromax,953,3.9,14193,1243,32 MB,32 MB
2399,"MOTOROLA g52 (Charcoal Grey, 64 GB)",MOTOROLA,11999,4.2,8442,1070,4 GB,64 GB
2400,"APPLE iPhone 13 ((PRODUCT)RED, 128 GB)",APPLE,60999,4.7,177611,9781,128 GB,Not Known
2401,"Nothing Phone (1) (White, 256 GB)",Nothing,35499,4.3,5975,693,12 GB,256 GB
2402,LAVA GEM,LAVA,1649,4.2,29598,3174,0 MB,Expandable Upto
2403,"realme C33 (Night Sea, 32 GB)",realme,8999,4.4,16512,699,3 GB,32 GB
2404,"realme C11 2021 (Cool Grey, 32 GB)",realme,7499,4.4,233435,10147,2 GB,32 GB
2405,"vivo T1 44W (Starry Sky, 128 GB)",vivo,17999,4.3,5156,440,8 GB,128 GB
2406,"realme C33 (Aqua Blue, 32 GB)",realme,8999,4.4,16512,699,3 GB,32 GB
2407,"realme C33 (Sandy Gold, 32 GB)",realme,8999,4.4,16512,699,3 GB,32 GB
2408,"POCO C50 (Country Green, 32 GB)",POCO,7299,2.7,3,0,3 GB,32 GB
2409,"POCO M4 Pro 5G (Yellow, 128 GB)",POCO,14999,4.2,7856,692,8 GB,128 GB
2410,"realme C31 (Light Silver, 64 GB)",realme,8999,4.4,56801,2730,4 GB,64 GB
2411,"Infinix HOT 12 Play (Racing Black, 64 GB)",Infinix,8699,4.3,108143,8028,4 GB,64 GB
2412,"Infinix HOT 12 Play (Daylight Green, 64 GB)",Infinix,8699,4.3,108143,8028,4 GB,64 GB
2413,"Infinix HOT 12 Play (Horizon Blue, 64 GB)",Infinix,8699,4.3,108143,8028,4 GB,64 GB
2414,"Infinix HOT 12 Play (Champagne Gold, 64 GB)",Infinix,8699,4.3,108143,8028,4 GB,64 GB
2415,"REDMI A1 (Light Green, 32 GB)",REDMI,6335,4.2,1893,141,2 GB,32 GB
2416,"realme 9i 5G (Metallica Gold, 64 GB)",realme,14999,4.5,37211,1725,4 GB,64 GB
2417,"realme 9i 5G (Soulful Blue, 64 GB)",realme,14999,4.5,37211,1725,4 GB,64 GB
2418,"realme 9i 5G (Rocking Black, 64 GB)",realme,14999,4.5,37211,1725,4 GB,64 GB
2419,"vivo Y16 (Drizzling Gold, 64 GB)",vivo,10499,4.3,776,58,3 GB,64 GB
2420,"Infinix Hot 12 Pro (Electric Blue, 64 GB)",Infinix,9999,4.2,5542,324,6 GB,64 GB
2421,"POCO X4 Pro 5G (Laser Black, 128 GB)",POCO,21999,4.1,14202,1467,8 GB,128 GB
2422,"REDMI 10A (Slate grey, 64 GB)",REDMI,8488,4.2,7695,484,4 GB,64 GB
2423,"REDMI 10A (Charcoal Black, 32 GB)",REDMI,7990,4.1,1550,103,3 GB,32 GB
2424,"Tecno Spark 8T (Turquoise Cyan, 64 GB)",Tecno,8985,4.2,348,34,4 GB,64 GB
2425,"Infinix Note 12 TURBO (Snowfall, 128 GB)",Infinix,13999,4.2,7196,925,8 GB,128 GB
2426,"Infinix Note 12 (Jewel Blue, 128 GB)",Infinix,11999,4.2,11430,1103,6 GB,128 GB
2427,"Infinix Note 12 (Force Black, 128 GB)",Infinix,11999,4.2,11430,1103,6 GB,128 GB
2428,KARBONN KX3,KARBONN,998,4.0,1915,134,31 MB,32 MB
2429,"APPLE iPhone 14 (Purple, 256 GB)",APPLE,83990,4.6,981,67,256 GB,Not Known
2430,LAVA Flip,LAVA,1879,4.1,13313,1282,32 MB,32 MB
2431,LAVA Flip,LAVA,1879,4.1,13313,1282,32 MB,32 MB
2432,"MOTOROLA Edge 30 Pro (Cosmos Blue, 128 GB)",MOTOROLA,34999,4.0,1010,179,8 GB,128 GB
2433,"Realme C30 - Locked with Airtel Prepaid (Bamboo Green, 32 GB)",Realme,5499,4.3,66939,3492,2 GB,32 GB
2434,"Realme C30 - Locked with Airtel Prepaid (Denim Black, 32 GB)",Realme,5499,4.3,66939,3492,2 GB,32 GB
2435,Nokia 110 TA-1302 DS,Nokia,1715,4.0,24647,1954,4 MB,4 MB
2436,"REDMI Note 10T 5G (Mint Green, 128 GB)",REDMI,16999,4.2,30870,2392,6 GB,128 GB
2437,"POCO X4 Pro 5G (Laser Blue, 128 GB)",POCO,21999,4.1,14202,1467,8 GB,128 GB
2438,itel It2171,itel,999,4.1,3569,328,32 MB,32 MB
2439,"realme C33 (Aqua Blue, 64 GB)",realme,9999,4.5,52460,2270,4 GB,64 GB
2440,"realme C33 (Sandy Gold, 64 GB)",realme,9999,4.5,52460,2270,4 GB,64 GB
2441,"realme C33 (Night Sea, 64 GB)",realme,9999,4.5,52460,2270,4 GB,64 GB
2443,itel Ace2 Star,itel,899,4.4,46,4,4 MB,4 MB
2444,"MOTOROLA G60 (Frosted Champagne, 128 GB)",MOTOROLA,15999,4.2,131824,13360,6 GB,128 GB
2445,Micromax X415,Micromax,936,3.9,747,66,32 MB,32 MB
2446,SAMSUNG GT-E1215,SAMSUNG,1650,4.3,53933,4504,NA ROM,Not Known
2447,"OPPO F19 (Midnight Blue, 128 GB)",OPPO,15490,4.3,22833,1669,6 GB,128 GB
2448,"REDMI Note 11 SE (Bifrost Blue, 64 GB)",REDMI,16998,4.3,30409,1886,6 GB,64 GB
2449,"realme C33 (Night Sea, 64 GB)",realme,9999,4.5,52460,2270,4 GB,64 GB
2450,"realme C33 (Sandy Gold, 64 GB)",realme,9999,4.5,52460,2270,4 GB,64 GB
2451,"Infinix Note 11s Free Fire Edition (Haze Green, 128 GB)",Infinix,15999,4.2,7333,980,8 GB,128 GB
2452,"OPPO F19 (Midnight Blue, 128 GB)",OPPO,15490,4.3,22833,1669,6 GB,128 GB
2453,"OPPO F19 (Prism Black, 128 GB)",OPPO,15490,4.3,22833,1669,6 GB,128 GB
2454,Micromax X512,Micromax,1119,4.1,258,16,30 MB,24 MB
2455,"Google Pixel 6a (Charcoal, 128 GB)",Google,29999,4.3,22516,2917,6 GB,128 GB
2456,"POCO F4 5G (Night Black, 128 GB)",POCO,25999,4.3,4248,586,8 GB,128 GB
2457,"APPLE iPhone 11 (Red, 64 GB)",APPLE,39999,4.6,176742,10518,64 GB,Not Known
2458,"REDMI 10A SPORT (SLATE GREY, 128 GB)",REDMI,10447,4.0,548,37,6 GB,128 GB
2459,"MOTOROLA edge 30 (Meteor Grey, 128 GB)",MOTOROLA,22999,4.1,6637,949,6 GB,128 GB
2460,LAVA A1 Josh 2021,LAVA,1089,4.1,7344,628,0 MB,Expandable Upto
2461,"IQOO Z6 44W (Ravan Black, 128 GB)",IQOO,16299,4.2,607,42,6 GB,128 GB
2462,"realme 9 Pro+ 5G (Aurora Green, 128 GB)",realme,21499,4.4,30596,3739,6 GB,128 GB
2463,"realme Narzo 50i (Carbon Black, 32 GB)",realme,6920,4.5,121209,4801,2 GB,32 GB
2464,"realme C35 (Glowing Black, 128 GB)",realme,13999,4.2,12952,848,6 GB,128 GB
2465,"realme C35 (Glowing Green, 128 GB)",realme,13999,4.2,12952,848,6 GB,128 GB
2466,SAMSUNG GT-E1215,SAMSUNG,1650,4.3,53933,4504,NA ROM,Not Known
2467,"POCO M4 Pro (Cool Blue, 128 GB)",POCO,17999,4.3,12383,1095,8 GB,128 GB
2468,SAMSUNG Guru Music 2,SAMSUNG,2075,4.3,196562,18346,NA ROM,Not Known
2469,"REDMI 10A SPORT (SEA BLUE, 128 GB)",REDMI,9995,4.0,548,37,6 GB,128 GB
2470,"REDMI Note 11 SE (Thunder Purple, 64 GB)",REDMI,11999,4.3,30409,1886,6 GB,64 GB
2471,SAMSUNG Guru 1200,SAMSUNG,1655,4.1,7072,504,153 MB,153 MB
2472,SAMSUNG Guru 1200,SAMSUNG,1655,4.1,7072,504,153 MB,153 MB
2473,"SAMSUNG GALAXY M13 (Aqua Green, 64 GB)",SAMSUNG,11099,4.2,1860,131,4 GB,64 GB
2474,"Micromax IN 2C (Brown, 32 GB)",Micromax,5999,4.2,2047,262,3 GB,32 GB
2475,Motorola a70,Motorola,1959,4.1,1549,157,0 MB,Expandable Upto
2476,Micromax X708,Micromax,1219,3.9,1856,138,32 MB,32 MB
2477,Micromax X708,Micromax,1318,3.9,1856,138,32 MB,32 MB
2478,"Tecno POVA 4 (Uranolith Grey, 128 GB)",Tecno,12826,4.3,4,1,8 GB,128 GB
2479,LAVA Hero 600i,LAVA,919,4.2,37,3,4 MB,3 MB
2480,"POCO M4 Pro (Cool Blue, 128 GB)",POCO,17999,4.3,12383,1095,8 GB,128 GB
2481,Motorola a70,Motorola,1999,4.0,842,100,4 MB,4 MB
2482,"realme Narzo 50i (Mint Green, 32 GB)",realme,7014,4.5,121209,4801,2 GB,32 GB
2483,"vivo Y16 (Steller Black, 32 GB)",vivo,9999,4.3,776,58,3 GB,32 GB
2484,"realme C30s (Stripe Blue, 32 GB)",realme,7499,4.5,3975,143,2 GB,32 GB
2485,LAVA Gem,LAVA,1729,4.2,7884,705,32 MB,32 MB
2486,LAVA A1 2021,LAVA,1119,4.1,3851,343,32 MB,24 MB
2487,"Tecno Pova 3 (Electric Blue, 64 GB)",Tecno,11990,4.2,253,12,4 GB,64 GB
2488,"Tecno Pova 3 (Tech Silver, 64 GB)",Tecno,10955,4.2,253,12,4 GB,64 GB
2489,"Tecno Pova 3 (Tech Silver, 128 GB)",Tecno,13958,4.1,170,12,6 GB,128 GB
2490,"Tecno Pova 3 (Eco Black, 64 GB)",Tecno,10949,4.2,253,12,4 GB,64 GB
2491,Kechaoda K112,Kechaoda,1609,4.0,19126,2027,32 MB,64 MB
2492,GREENBERRI F1,GREENBERRI,1299,3.9,1511,116,64 MB,64 MB
2493,"POCO F4 5G (Night Black, 256 GB)",POCO,29999,4.4,2469,358,12 GB,256 GB
2494,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)",SAMSUNG,11499,4.3,101336,9764,4 GB,64 GB
2496,"Nothing Phone (1) (Black, 256 GB)",Nothing,35499,4.3,5975,693,12 GB,256 GB
2497,"Nothing Phone (1) (Black, 128 GB)",Nothing,25999,4.3,39201,5306,8 GB,128 GB
2498,"MOTOROLA G51 5G (Indigo Blue, 64 GB)",MOTOROLA,12999,4.1,16473,2057,4 GB,64 GB
2499,"I Kall King Talking, Contact icon and Auto Call Recording",I,744,3.6,14932,1394,32 MB,32 MB
2500,"OPPO K10 (Black Carbon, 128 GB)",OPPO,16990,4.3,5053,432,8 GB,128 GB
2501,"REDMI 10A (Charcoal Black, 64 GB)",REDMI,8579,4.2,7695,484,4 GB,64 GB
2502,"APPLE iPhone 12 (Black, 128 GB)",APPLE,57999,4.6,185701,12675,128 GB,Not Known
2503,LAVA 34 Ultra,LAVA,1649,4.1,1418,160,24 MB,32 MB
2504,"SAMSUNG Galaxy M33 5G (Deep Ocean Blue, 128 GB)",SAMSUNG,19698,4.3,784,58,8 GB,128 GB
2506,Snexian GURU 310,Snexian,698,3.3,18230,1475,32 MB,32 MB
2507,Nokia 105 PLUS,Nokia,1549,4.1,5686,404,4 MB,4 MB
2509,MTR Ferrari,MTR,1300,4.1,6207,449,64 MB,64 MB
2510,MTR Ferrari,MTR,1300,4.1,6207,449,64 MB,64 MB
2511,"SAMSUNG GALAXY M13 5G (Midnight Blue, 128 GB)",SAMSUNG,14699,4.1,402,28,6 GB,128 GB
2512,MU M5000,MU,1179,3.9,2295,287,32 MB,32 MB
2513,LAVA A1,LAVA,1129,4.2,107469,11417,24 MB,24 MB
2514,"Tecno Spark 9 (Infinity Black, 64 GB)",Tecno,8479,4.1,293,23,4 GB,64 GB
2515,"Infinix HOT 20 5G (Blaster Green, 64 GB)",Infinix,11499,4.2,831,107,4 GB,64 GB
2516,SAMSUNG GT-E1215,SAMSUNG,1663,4.3,53933,4504,NA ROM,Not Known
2517,"SAMSUNG Galaxy M33 5G (Deep Ocean Blue, 128 GB)",SAMSUNG,19298,4.3,784,58,8 GB,128 GB
2518,DIZO Star 500,DIZO,1999,4.0,12294,1460,32 MB,32 MB
2519,itel It2171,itel,999,4.1,3569,328,32 MB,32 MB
2520,"Infinix HOT 20 Play (Luna Blue, 64 GB)",Infinix,8199,4.3,505,52,4 GB,64 GB
2521,"MOTOROLA e40 (Carbon Gray, 64 GB)",MOTOROLA,7999,4.1,56085,5600,4 GB,64 GB
2522,"MOTOROLA e40 (Pink Clay, 64 GB)",MOTOROLA,7999,4.1,56085,5600,4 GB,64 GB
2523,"POCO C31 (Shadow Gray, 64 GB)",POCO,7499,4.3,183688,11185,4 GB,64 GB
2524,"MOTOROLA G32 (Mineral Gray, 64 GB)",MOTOROLA,9999,4.2,16249,1639,4 GB,64 GB
2525,"REDMI 9i Sport (Carbon Black, 64 GB)",REDMI,7199,4.3,209377,12027,4 GB,64 GB
2526,"REDMI 9i Sport (Coral Green, 64 GB)",REDMI,7199,4.3,209377,12027,4 GB,64 GB
2527,"POCO M4 Pro 5G (Cool Blue, 64 GB)",POCO,11999,4.3,33258,2972,4 GB,64 GB
2528,"realme 9 5G (Stargaze White, 128 GB)",realme,16499,4.4,44415,2930,6 GB,128 GB
2529,"realme 9 5G (Supersonic Blue, 64 GB)",realme,14999,4.5,36109,2083,4 GB,64 GB
2530,"realme 9 5G (Meteor Black, 64 GB)",realme,14999,4.5,36109,2083,4 GB,64 GB
2531,"MOTOROLA G62 5G (Midnight Gray, 128 GB)",MOTOROLA,14999,4.1,8567,933,6 GB,128 GB
2532,"POCO M4 Pro 5G (Cool Blue, 128 GB)",POCO,13999,4.2,41124,3691,6 GB,128 GB
2533,"MOTOROLA g52 (Metallic White, 128 GB)",MOTOROLA,12999,4.2,20882,2628,6 GB,128 GB
2534,"realme 9 5G (Meteor Black, 128 GB)",realme,16499,4.4,44415,2930,6 GB,128 GB
2535,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)",SAMSUNG,13999,4.2,32083,2613,4 GB,128 GB
2536,"realme 9 5G (Supersonic Blue, 128 GB)",realme,16499,4.4,44415,2930,6 GB,128 GB
2537,"realme 9 5G (Stargaze White, 64 GB)",realme,14999,4.5,36109,2083,4 GB,64 GB
2538,"MOTOROLA g52 (Charcoal Grey, 128 GB)",MOTOROLA,12999,4.2,20882,2628,6 GB,128 GB
2539,"APPLE iPhone 14 (Starlight, 128 GB)",APPLE,73990,4.6,981,67,128 GB,Not Known
2540,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",SAMSUNG,14999,4.3,137778,11213,6 GB,128 GB
2541,"APPLE iPhone 14 (Midnight, 128 GB)",APPLE,73990,4.6,981,67,128 GB,Not Known
2542,"vivo T1 5G (Starlight Black, 128 GB)",vivo,16990,4.4,157801,12539,6 GB,128 GB
2543,"MOTOROLA G32 (Satin Silver, 64 GB)",MOTOROLA,9999,4.2,16249,1639,4 GB,64 GB
2544,"MOTOROLA G62 5G (Frosted Blue, 128 GB)",MOTOROLA,14999,4.1,8567,933,6 GB,128 GB
2545,"MOTOROLA g42 (Atlantic Green, 64 GB)",MOTOROLA,10999,4.1,3075,385,4 GB,64 GB
2546,"APPLE iPhone 14 (Blue, 128 GB)",APPLE,73990,4.6,981,67,128 GB,Not Known
2547,"realme 9 5G (Supersonic Black, 128 GB)",realme,16499,4.4,44415,2930,6 GB,128 GB
2548,"APPLE iPhone 14 (Purple, 128 GB)",APPLE,73990,4.6,981,67,128 GB,Not Known
2549,"Infinix HOT 20 Play (Racing Black, 64 GB)",Infinix,8199,4.3,505,52,4 GB,64 GB
2550,"Infinix HOT 20 Play (Aurora Green, 64 GB)",Infinix,8199,4.3,505,52,4 GB,64 GB
2551,"Infinix HOT 20 Play (Fantasy Purple, 64 GB)",Infinix,8199,4.3,505,52,4 GB,64 GB
2552,"vivo T1 5G (Rainbow Fantasy, 128 GB)",vivo,16990,4.4,157801,12539,6 GB,128 GB
2553,"vivo T1 5G (Rainbow Fantasy, 128 GB)",vivo,15990,4.3,59607,4787,4 GB,128 GB
2554,"REDMI Note 11 SE (Cosmic White, 64 GB)",REDMI,16998,4.3,30409,1886,6 GB,64 GB
2555,"REDMI 10 (Midnight Black, 64 GB)",REDMI,9999,4.3,165144,10864,4 GB,64 GB
2556,"REDMI 10 (Pacific Blue, 64 GB)",REDMI,9999,4.3,165144,10864,4 GB,64 GB
2557,"MOTOROLA G32 (Mineral Gray, 64 GB)",MOTOROLA,9999,4.2,16249,1639,4 GB,64 GB
2558,"POCO C31 (Royal Blue, 64 GB)",POCO,7499,4.3,183688,11185,4 GB,64 GB
2559,"POCO M4 5G (Cool Blue, 128 GB)",POCO,13999,4.2,22699,1884,6 GB,128 GB
2560,"vivo T1X (Gravity Black, 64 GB)",vivo,11999,4.5,68117,3863,4 GB,64 GB
2561,"vivo T1X (Space Blue, 64 GB)",vivo,11999,4.5,68117,3863,4 GB,64 GB
2562,"POCO M4 5G (Cool Blue, 64 GB)",POCO,11999,4.2,45400,3749,4 GB,64 GB
2563,"POCO M4 5G (Power Black, 128 GB)",POCO,13999,4.2,22699,1884,6 GB,128 GB
2564,"MOTOROLA g82 5G(White Lily, 128 GB)",MOTOROLA,18999,4.2,5211,703,6 GB,128 GB
2565,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",SAMSUNG,13999,4.2,32083,2613,4 GB,128 GB
2566,"vivo T1 5G (Starlight Black, 128 GB)",vivo,15990,4.3,59607,4787,4 GB,128 GB
2567,"Infinix Smart 6 HD (Origin Blue, 32 GB)",Infinix,5799,4.4,15648,823,2 GB,32 GB
2568,"vivo T1 5G (Starlight Black, 128 GB)",vivo,15990,4.3,59607,4787,4 GB,128 GB
2569,"MOTOROLA g22 (Iceberg Blue, 64 GB)",MOTOROLA,9499,3.7,26741,3220,4 GB,64 GB
2570,"Infinix Smart 6 HD (Origin Blue, 32 GB)",Infinix,5799,4.4,15648,823,2 GB,32 GB
2571,"Infinix Smart 6 HD (Aqua Sky, 32 GB)",Infinix,5799,4.4,15648,823,2 GB,32 GB
2572,"realme 9i (Prism Blue, 128 GB)",realme,12599,4.5,116293,6868,4 GB,128 GB
2573,"vivo T1X (Gravity Black, 128 GB)",vivo,12999,4.5,68117,3863,4 GB,128 GB
2574,"vivo T1X (Space Blue, 128 GB)",vivo,12999,4.5,68117,3863,4 GB,128 GB
2575,"Infinix Hot 12 (Exploratory Blue, 64 GB)",Infinix,8899,4.2,14750,1095,4 GB,64 GB
2576,"Infinix Hot 12 (7° Purple, 64 GB)",Infinix,8899,4.2,14750,1095,4 GB,64 GB
2577,"Infinix Smart 6 HD (Force Black, 32 GB)",Infinix,5799,4.4,15648,823,2 GB,32 GB
2578,"REDMI 10 (Caribbean Green, 64 GB)",REDMI,9999,4.3,165144,10864,4 GB,64 GB
2579,"realme 9i (Prism Blue, 128 GB)",realme,13599,4.5,25752,1531,6 GB,128 GB
2580,"realme 9i (Prism Black, 128 GB)",realme,12599,4.5,116293,6868,4 GB,128 GB
2581,"vivo T1 44W (Starry Sky, 128 GB)",vivo,14499,4.5,74897,5493,4 GB,128 GB
2582,"vivo T1 44W (Midnight Galaxy, 128 GB)",vivo,14499,4.5,74897,5493,4 GB,128 GB
2583,Nokia 105 SS,Nokia,1299,4.2,24816,1801,32 MB,32 MB
2584,Nokia 105 SS,Nokia,1299,4.2,24816,1801,32 MB,32 MB
2585,"MOTOROLA g42 (Metallic Rose, 64 GB)",MOTOROLA,10999,4.1,3075,385,4 GB,64 GB
2586,"APPLE iPhone 13 (Pink, 128 GB)",APPLE,60999,4.7,177611,9781,128 GB,Not Known
2587,"MOTOROLA g72 (Polar Blue, 128 GB)",MOTOROLA,14999,4.1,4878,776,6 GB,128 GB
2588,"POCO M4 Pro 5G (Yellow, 64 GB)",POCO,11999,4.3,33258,2972,4 GB,64 GB
2589,"MOTOROLA g82 5G (Meterorite Grey, 128 GB)",MOTOROLA,20499,4.1,3123,411,8 GB,128 GB
2590,"vivo T1X (Space Blue, 128 GB)",vivo,14999,4.4,3415,211,6 GB,128 GB
2591,"POCO M4 Pro (Power Black, 128 GB)",POCO,16499,4.3,130276,11960,6 GB,128 GB
2592,"Infinix Smart 6 Plus (Tranquil Sea Blue, 64 GB)",Infinix,7599,4.2,9919,738,3 GB,64 GB
2593,"REDMI 10 (Caribbean Green, 64 GB)",REDMI,9999,4.3,165144,10864,4 GB,64 GB
2594,"vivo T1 44W (Midnight Galaxy, 128 GB)",vivo,15999,4.4,43289,3353,6 GB,128 GB
2595,"vivo T1 44W (Starry Sky, 128 GB)",vivo,15999,4.4,43289,3353,6 GB,128 GB
2596,"realme 10 Pro 5G (Dark Matter, 128 GB)",realme,18999,4.4,3410,339,6 GB,128 GB
2597,"realme 10 Pro 5G (Nebula Blue, 128 GB)",realme,19999,4.4,1963,193,8 GB,128 GB
2598,"Infinix Hot 12 (Polar Black, 64 GB)",Infinix,8899,4.2,14750,1095,4 GB,64 GB
2599,"SAMSUNG Galaxy F13 (Nightsky Green, 128 GB)",SAMSUNG,12999,4.4,108205,6211,4 GB,128 GB
2600,"realme 9 (Sunburst Gold, 128 GB)",realme,14599,4.4,55583,4035,6 GB,128 GB
2601,"realme 9 (Meteor Black, 128 GB)",realme,14599,4.4,55583,4035,6 GB,128 GB
2602,"realme 9 (Stargaze White, 128 GB)",realme,14599,4.4,55583,4035,6 GB,128 GB
2603,"MOTOROLA g82 5G (Meterorite Grey, 128 GB)",MOTOROLA,18999,4.2,5211,703,6 GB,128 GB
2604,"POCO M4 Pro 5G (Power Black, 128 GB)",POCO,14999,4.2,7856,692,8 GB,128 GB
2605,"APPLE iPhone 13 (Starlight, 128 GB)",APPLE,60999,4.7,177611,9781,128 GB,Not Known
2606,"vivo T1 5G (Silky White, 128 GB)",vivo,16990,4.4,157801,12539,6 GB,128 GB
2607,"vivo T1 5G (Starlight Black, 128 GB)",vivo,16990,4.4,157801,12539,6 GB,128 GB
2608,"POCO M4 Pro 5G (Cool Blue, 128 GB)",POCO,14999,4.2,7856,692,8 GB,128 GB
2609,"REDMI 9i Sport (Metallic Blue, 64 GB)",REDMI,7199,4.3,209377,12027,4 GB,64 GB
2610,"SAMSUNG Galaxy F13 (Sunrise Copper, 128 GB)",SAMSUNG,12999,4.4,108205,6211,4 GB,128 GB
2611,"MOTOROLA g82 5G (White Lily, 128 GB)",MOTOROLA,20499,4.1,3123,411,8 GB,128 GB
2612,"APPLE iPhone 12 mini (Black, 64 GB)",APPLE,37999,4.5,123326,9923,64 GB,Not Known
2613,"MOTOROLA g31 (Meteorite Grey, 64 GB)",MOTOROLA,9999,4.2,31884,3711,4 GB,64 GB
2614,"POCO M4 Pro (Power Black, 128 GB)",POCO,16499,4.3,130276,11960,6 GB,128 GB
2615,"MOTOROLA G62 5G (Midnight Gray, 128 GB)",MOTOROLA,16999,4.1,1949,229,8 GB,128 GB
2616,"realme C30 (Denim Black, 32 GB)",realme,5999,4.3,66939,3492,2 GB,32 GB
2617,"realme C30 (Lake Blue, 32 GB)",realme,5999,4.3,66939,3492,2 GB,32 GB
2618,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",SAMSUNG,12999,4.4,108205,6211,4 GB,128 GB
2619,"APPLE iPhone 14 (Midnight, 256 GB)",APPLE,83990,4.6,981,67,256 GB,Not Known
2620,"POCO X4 Pro 5G (Laser Blue, 128 GB)",POCO,19999,4.2,61334,6308,6 GB,128 GB
2621,"MOTOROLA g72 (Meteorite Grey, 128 GB)",MOTOROLA,14999,4.1,4878,776,6 GB,128 GB
2622,"MOTOROLA g31 (Baby Blue, 128 GB)",MOTOROLA,11999,4.1,12475,1337,6 GB,128 GB
2623,"APPLE iPhone 13 (Midnight, 128 GB)",APPLE,60999,4.7,177611,9781,128 GB,Not Known
2624,"SAMSUNG Galaxy S21 FE 5G (Olive, 128 GB)",SAMSUNG,35999,4.4,29082,3001,8 GB,128 GB
2625,"APPLE iPhone 12 mini (Black, 64 GB)",APPLE,37999,4.5,123326,9923,64 GB,Not Known
2626,"POCO M3 Pro 5G (Yellow, 128 GB)",POCO,15499,4.2,52420,4434,6 GB,128 GB
